id_str,ra,dec,z,anillos,dataset,ring_class,ring_class_0,ring_class_1,ring_class_2,ring_class_3,inner_ring,outer_ring,file_loc,file_rel,validation_status
manga-10225-3704,37.9683313637,-0.279840490138,0.04877,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10225-3704_0.fits,Images/manga-10225-3704_0.fits,ok
manga-10226-12702,38.1001719357,-0.55207323206,0.0536409,12,manga,3,0.0,0.0,0.0,1.0,1,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10226-12702_0.fits,Images/manga-10226-12702_0.fits,ok
manga-10226-3704,37.779258815,-1.10518325836,0.0405964,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10226-3704_0.fits,Images/manga-10226-3704_0.fits,ok
manga-10492-12701,123.338037496,57.852238539,0.0266673,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10492-12701_0.fits,Images/manga-10492-12701_0.fits,ok
manga-10492-12705,125.453893616,56.2899230993,0.0303611,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10492-12705_0.fits,Images/manga-10492-12705_0.fits,ok
manga-10492-1902,123.686548781,58.2798468272,0.0275005,12,manga,3,0.0,0.0,0.0,1.0,1,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10492-1902_0.fits,Images/manga-10492-1902_0.fits,ok
manga-10492-6104,122.985123942,56.9790067546,0.0271887,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10492-6104_0.fits,Images/manga-10492-6104_0.fits,ok
manga-10492-9102,124.062110011,57.7093321492,0.02639,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10492-9102_0.fits,Images/manga-10492-9102_0.fits,ok
manga-10493-6104,124.546178511,52.4524343005,0.138558,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10493-6104_0.fits,Images/manga-10493-6104_0.fits,ok
manga-10494-3703,124.12820127,55.2976316461,0.0318774,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10494-3703_0.fits,Images/manga-10494-3703_0.fits,ok
manga-10495-6101,124.681368815,47.0492168183,0.0520024,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10495-6101_0.fits,Images/manga-10495-6101_0.fits,ok
manga-10495-9101,123.106993469,47.5425831348,0.053925,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10495-9101_0.fits,Images/manga-10495-9101_0.fits,ok
manga-10496-1902,126.648895962,41.0849826648,0.0586414,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10496-1902_0.fits,Images/manga-10496-1902_0.fits,ok
manga-10497-9102,122.516968896,17.2685486855,0.0440739,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10497-9102_0.fits,Images/manga-10497-9102_0.fits,ok
manga-10498-3701,130.717401412,25.6426974315,0.0538089,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10498-3701_0.fits,Images/manga-10498-3701_0.fits,ok
manga-10500-3703,136.638779932,31.1899702229,0.0490224,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10500-3703_0.fits,Images/manga-10500-3703_0.fits,ok
manga-10502-6103,130.526005689,30.8200517243,0.0267448,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10502-6103_0.fits,Images/manga-10502-6103_0.fits,ok
manga-10503-1902,159.715467649,5.67009532172,0.0283002,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10503-1902_0.fits,Images/manga-10503-1902_0.fits,ok
manga-10506-6101,139.646760758,33.8680022735,0.0240251,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10506-6101_0.fits,Images/manga-10506-6101_0.fits,ok
manga-10507-6101,174.588123583,47.4373649095,0.0334189,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10507-6101_0.fits,Images/manga-10507-6101_0.fits,ok
manga-10507-6103,176.858100105,49.1384939324,0.0548352,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10507-6103_0.fits,Images/manga-10507-6103_0.fits,ok
manga-10509-12703,168.545376088,48.318515932,0.0071216,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10509-12703_0.fits,Images/manga-10509-12703_0.fits,ok
manga-10509-9101,168.532451815,47.8043091248,0.0674518,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10509-9101_0.fits,Images/manga-10509-9101_0.fits,ok
manga-10510-12701,177.024570744,54.6462764388,0.0598734,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10510-12701_0.fits,Images/manga-10510-12701_0.fits,ok
manga-10511-3704,131.827669591,2.76227753464,0.028474,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10511-3704_0.fits,Images/manga-10511-3704_0.fits,ok
manga-10512-12702,136.015436579,3.58471960293,0.0266743,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10512-12702_0.fits,Images/manga-10512-12702_0.fits,ok
manga-10513-3701,140.827895393,1.58311208801,0.0260271,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10513-3701_0.fits,Images/manga-10513-3701_0.fits,ok
manga-10513-6102,141.583919955,0.457419463447,0.0552136,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10513-6102_0.fits,Images/manga-10513-6102_0.fits,ok
manga-10514-1901,143.690715268,3.09643639786,0.0235589,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10514-1901_0.fits,Images/manga-10514-1901_0.fits,ok
manga-10515-12702,148.002980984,4.15077036024,0.0306162,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10515-12702_0.fits,Images/manga-10515-12702_0.fits,ok
manga-10515-3704,147.646179593,4.77311761979,0.0302519,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10515-3704_0.fits,Images/manga-10515-3704_0.fits,ok
manga-10516-12701,150.529327393,3.05768609047,0.0233518,12,manga,3,0.0,0.0,0.0,1.0,1,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10516-12701_0.fits,Images/manga-10516-12701_0.fits,ok
manga-10518-9102,153.761128184,5.67693109095,0.0286522,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10518-9102_0.fits,Images/manga-10518-9102_0.fits,ok
manga-10519-6102,154.823301033,4.763065705,0.0459552,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10519-6102_0.fits,Images/manga-10519-6102_0.fits,ok
manga-10520-12702,156.266309583,5.07132886241,0.124944,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10520-12702_0.fits,Images/manga-10520-12702_0.fits,ok
manga-10520-1902,157.208174735,4.96056352815,0.0229437,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10520-1902_0.fits,Images/manga-10520-1902_0.fits,ok
manga-10839-12702,132.506703434,0.225763019316,0.05132873,12,manga,3,0.0,0.0,0.0,1.0,1,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10839-12702_0.fits,Images/manga-10839-12702_0.fits,ok
manga-10839-12705,132.679525546,1.35070562856,0.042605363,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10839-12705_0.fits,Images/manga-10839-12705_0.fits,ok
manga-10840-12705,134.335451059,2.92133826593,0.012992108,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10840-12705_0.fits,Images/manga-10840-12705_0.fits,ok
manga-10842-3703,141.06409,5.94114,0.034794126,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10842-3703_0.fits,Images/manga-10842-3703_0.fits,ok
manga-10842-6103,140.270627533,6.19564114315,0.05400469,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10842-6103_0.fits,Images/manga-10842-6103_0.fits,ok
manga-10843-1902,149.88145083,-0.256509657052,0.046468403,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10843-1902_0.fits,Images/manga-10843-1902_0.fits,ok
manga-10845-9102,149.78242985,2.70369560508,0.07916285,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10845-9102_0.fits,Images/manga-10845-9102_0.fits,ok
manga-11004-12704,197.05877422,27.5158507658,0.024439191,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11004-12704_0.fits,Images/manga-11004-12704_0.fits,ok
manga-11004-3704,198.260390445,25.953825952,0.024261326,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11004-3704_0.fits,Images/manga-11004-3704_0.fits,ok
manga-11004-6104,198.247802298,27.1415252303,0.022892538,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11004-6104_0.fits,Images/manga-11004-6104_0.fits,ok
manga-11006-6102,194.402261608,27.0313661613,0.024525953,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11006-6102_0.fits,Images/manga-11006-6102_0.fits,ok
manga-11009-12703,195.774732754,26.5311162021,0.019131178,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11009-12703_0.fits,Images/manga-11009-12703_0.fits,ok
manga-11009-9101,194.634432576,26.2436602387,0.0690678,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11009-9101_0.fits,Images/manga-11009-9101_0.fits,ok
manga-11009-9102,194.844636044,26.0262160233,0.020223344,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11009-9102_0.fits,Images/manga-11009-9102_0.fits,ok
manga-11010-3702,196.494606857,25.46570176,0.021773018,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11010-3702_0.fits,Images/manga-11010-3702_0.fits,ok
manga-11010-6101,198.222943565,23.6346297839,0.023296947,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11010-6101_0.fits,Images/manga-11010-6101_0.fits,ok
manga-11010-6102,197.77093693,24.667687778,0.07210308,12,manga,3,0.0,0.0,0.0,1.0,1,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11010-6102_0.fits,Images/manga-11010-6102_0.fits,ok
manga-11011-1902,218.718594451,48.6618906608,0.03664102,12,manga,3,0.0,0.0,0.0,1.0,1,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11011-1902_0.fits,Images/manga-11011-1902_0.fits,ok
manga-11012-12704,212.003281973,55.7294018674,0.07548623,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11012-12704_0.fits,Images/manga-11012-12704_0.fits,ok
manga-11014-12705,194.476509547,27.490641798,0.016611086,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11014-12705_0.fits,Images/manga-11014-12705_0.fits,ok
manga-11014-6104,194.77510377,27.9967050471,0.025574807,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11014-6104_0.fits,Images/manga-11014-6104_0.fits,ok
manga-11016-12702,210.605734525,51.2086285412,0.070666485,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11016-12702_0.fits,Images/manga-11016-12702_0.fits,ok
manga-11017-12704,202.485377395,50.8838631272,0.025398761,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11017-12704_0.fits,Images/manga-11017-12704_0.fits,ok
manga-11018-12702,195.657161791,50.4384293765,0.023645166,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11018-12702_0.fits,Images/manga-11018-12702_0.fits,ok
manga-11019-3703,195.258919229,52.1892428859,0.054715317,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11019-3703_0.fits,Images/manga-11019-3703_0.fits,ok
manga-11020-3701,203.76808902,53.8733871028,0.06645045,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11020-3701_0.fits,Images/manga-11020-3701_0.fits,ok
manga-11021-1901,198.693806501,54.0873833851,0.03315796,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11021-1901_0.fits,Images/manga-11021-1901_0.fits,ok
manga-11021-3703,199.816264263,54.6017393989,0.032374963,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11021-3703_0.fits,Images/manga-11021-3703_0.fits,ok
manga-11021-3704,198.370492368,53.6461514306,0.06253175,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11021-3704_0.fits,Images/manga-11021-3704_0.fits,ok
manga-11021-9101,198.312401552,53.2053336786,0.02993399,12,manga,3,0.0,0.0,0.0,1.0,1,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11021-9101_0.fits,Images/manga-11021-9101_0.fits,ok
manga-11024-6104,202.632185668,-0.734217754,0.10275681,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11024-6104_0.fits,Images/manga-11024-6104_0.fits,ok
manga-11025-1902,259.0999,57.42267,0.029304264,12,manga,3,0.0,0.0,0.0,1.0,1,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11025-1902_0.fits,Images/manga-11025-1902_0.fits,ok
manga-11742-3704,125.57832,38.26645,0.05170633,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11742-3704_0.fits,Images/manga-11742-3704_0.fits,ok
manga-11743-12703,118.177788467,14.8406894758,0.047622,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11743-12703_0.fits,Images/manga-11743-12703_0.fits,ok
manga-11743-12704,118.731917828,14.7167640843,0.04911255,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11743-12704_0.fits,Images/manga-11743-12704_0.fits,ok
manga-11743-6102,118.414213708,13.4338957778,0.04784975,12,manga,3,0.0,0.0,0.0,1.0,1,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11743-6102_0.fits,Images/manga-11743-6102_0.fits,ok
manga-11744-12705,122.217871845,14.8625909491,0.0843183,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11744-12705_0.fits,Images/manga-11744-12705_0.fits,ok
manga-11744-1902,120.24858,15.62469,0.015024235,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11744-1902_0.fits,Images/manga-11744-1902_0.fits,ok
manga-11744-6103,121.176291463,15.7757325894,0.029283516,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11744-6103_0.fits,Images/manga-11744-6103_0.fits,ok
manga-11744-9101,120.418077307,15.6447504583,0.01655241,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11744-9101_0.fits,Images/manga-11744-9101_0.fits,ok
manga-11746-12701,127.29216,30.38484,0.05346802,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11746-12701_0.fits,Images/manga-11746-12701_0.fits,ok
manga-11746-12703,128.78634008,29.7092884241,0.04808478,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11746-12703_0.fits,Images/manga-11746-12703_0.fits,ok
manga-11748-3704,139.065227732,30.8240252853,0.022722792,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11748-3704_0.fits,Images/manga-11748-3704_0.fits,ok
manga-11749-12701,138.31816,31.35845,0.04165306,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11749-12701_0.fits,Images/manga-11749-12701_0.fits,ok
manga-11749-12703,139.97680569,33.1072866569,0.024551582,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11749-12703_0.fits,Images/manga-11749-12703_0.fits,ok
manga-11749-3703,139.668688334,31.4567266319,0.04822973,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11749-3703_0.fits,Images/manga-11749-3703_0.fits,ok
manga-11749-6101,139.598141087,30.5431759706,0.06262461,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11749-6101_0.fits,Images/manga-11749-6101_0.fits,ok
manga-11750-3701,188.693692412,39.5882687358,0.02025338,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11750-3701_0.fits,Images/manga-11750-3701_0.fits,ok
manga-11751-6102,146.633472458,35.3303421673,0.04276917,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11751-6102_0.fits,Images/manga-11751-6102_0.fits,ok
manga-11752-3703,144.025617854,1.46074122874,0.0459177,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11752-3703_0.fits,Images/manga-11752-3703_0.fits,ok
manga-11754-12705,132.167564387,1.03879869312,0.028757913,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11754-12705_0.fits,Images/manga-11754-12705_0.fits,ok
manga-11755-1901,187.267983189,43.9795718195,0.02371813,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11755-1901_0.fits,Images/manga-11755-1901_0.fits,ok
manga-11755-1902,185.983169018,42.2934598373,0.052295532,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11755-1902_0.fits,Images/manga-11755-1902_0.fits,ok
manga-11757-12703,248.560330372,26.5703229982,0.06592205,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11757-12703_0.fits,Images/manga-11757-12703_0.fits,ok
manga-11757-6103,248.85382038,26.6093757616,0.05775085,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11757-6103_0.fits,Images/manga-11757-6103_0.fits,ok
manga-11757-9101,249.090414766,26.5070025857,0.04396715,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-11757-9101_0.fits,Images/manga-11757-9101_0.fits,ok
